,Film,Oscar Year,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Movie Info,Genres,Critic Consensus,Content Rating,Directors,Authors,Actors,Original Release Date,Streaming Release Date,Production Company,Tomatometer Status,Tomatometer Rating,Tomatometer Count,Audience Status,Audience Rating,Audience Count,Tomatometer Top Critics Count,Tomatometer Fresh Critics Count,Tomatometer Rotten Critics Count,Film ID
181,High Noon,1952,Stanley Kramer,Nominee,1952,85,"Drama,Thriller,Western",8.0,"100,501","Former marshal Will Kane (Gary Cooper) is preparing to leave the small town of Hadleyville, New Mexico, with his new bride, Amy (Grace Kelly), when he learns that local criminal Frank Miller has been set free and is coming to seek revenge on the marshal who turned him in. When he starts recruiting deputies to fight Miller, Kane is discouraged to find that the people of Hadleyville turn cowardly when the time comes for a showdown, and he must face Miller and his cronies alone.","Mystery & Suspense, Western","A classic of the Western genre that broke with many of the traditions at the time, High Noon endures -- in no small part thanks to Gary Cooper's defiant, Oscar-winning performance.",PG,Fred Zinnemann,Carl Foreman,"Gary Cooper, Grace Kelly, Thomas Mitchell, Lloyd Bridges, Ian MacDonald, Katy Jurado, Otto Kruger, Creighton Chaney, Lon Chaney Jr, Harry Morgan, Eve McVeagh, Lee Van Cleef, Harry Shannon, Bob Wilke, Sheb Wooley, Robert J. Wilke, Tom London, Lon Chaney, Ted Stanhope, Larry J. Blake, William 'Bill' Phillips, Jeanne Blackford, James Millican, Cliff Clark, Ralph Reed, William Newell, Lucien Prival, Guy Beach, Howland Chamberlin, Morgan Farley, Howland Chamberlain, Virginia Christine, Paul Dubov, Jack Elam, Harry Harvey, Tim Graham, Nolan Leary, Tom Greenway, Dick Elliott, John Doucette, Virginia Farmer",1952-07-24,2016-08-10,United Artists,Certified-Fresh,97.0,58.0,Upright,89.0,25442.0,10.0,56.0,2.0,839c34d7-1b03-447d-b883-d03e35bd12c5
182,Ivanhoe,1952,Pandro S. Berman,Nominee,1952,106,"Adventure,Drama,History",6.8,"8,627","Loyal British knight Wilfred of Ivanhoe (Robert Taylor) sets out on a mission to free the kidnapped King of England, Richard the Lionheart (Norman Wooland), in this rousing adventure tale. The brave Ivanhoe must eventually confront the devious Prince John (Guy Rolfe) and the fierce Norman warrior Brian de Bois-Guilbert (George Sanders), while also juggling the affections of the beautiful maidens Rowena (Joan Fontaine) and Rebecca (Elizabeth Taylor).","Action & Adventure, Art House & International, Classics, Drama, Romance",,G,Richard Thorpe,"Noel Langley, Aeneas MacKenzie","Robert Taylor, Elizabeth Taylor, Joan Fontaine, George Sanders, Emlyn Williams, Robert Douglas, Finlay Currie, Felix Aylmer, Francis De Wolff, Guy Rolfe, Norman Wooland, Basil Sydney, Harold Warrender, Patrick Holt, Roderick Lovell, Sebastian Cabot, John Ruddock, Michael Brennan, Megs Jenkins, Valentine Dyall, Lionel Harris, Carl Jaffe",1952-07-31,2013-12-03,MGM Home Entertainment,Fresh,81.0,16.0,Upright,64.0,5038.0,3.0,13.0,3.0,0726de1a-97f7-4d02-8ebf-ede53d66faf7
183,Moulin Rouge,1952,"John Huston, John Woolf and James Woolf",Nominee,1952,119,"Biography,Drama,Music",7.1,"5,284","Visually exquisite biopic of Toulouse-Lautrec, the crippled painter whose work perfectly captured the spirit of bohemian Paris in the naughty 1890s. Portrayed as an embittered loner, he is tormented by his doomed relationships with prostitute Marie Charlet and sympathetic model Myriamme.","Classics, Drama, Musical & Performing Arts",,NR,John Huston,"Anthony Veiller, John Huston","José Ferrer, Colette Marchand, Zsa Zsa Gabor, Suzanne Flon, Katherine Kath, Claude Nollier, Muriel Smith, Georges Lannes, Walter Crisham, Mary Clare, Harold Kasket, Lee Montague, Jill Bennett, Maureen Swanson, Jim Gerald, Rupert John, Tutte Lemkow, Eric Pohlmann, Christopher Lee, Jean Landlier, Robert Le Fort, Jean Claudio, Suzi Euzaine, Guy Motschen, M. Tabourno, M. Ledebur, Fernand Fabre, George Pastell, M. Valerbe, Jean Ozenne, Francis De Wolff, Michael Balfour, Theodore Bikel, Peter Cushing, Terence O'Regan, Arissa Cooper, Jacques Cey, Charles Carson, Walter Cross, Rene Poirier, Margaret Maxwell, Hilary Allen, Maria Samina, Sara Luzita, Sheila Nelson, Aleta Morrison, Hugh Dempster, Charles T. Perry, Tim Turner, Michael Seavers, Bernard Rebel, Christopher Rhodes, Rene Laplat, Maria Britneva, Charles Reynolds, Ina De La Haye, Richard Molinas, Isabel George, Donovan Winter, Madge Brindley, Peter Haddon, Everley Gregg, Raymond Rollett, David Garth, Anthony Gray, Diane Cilento",1952-12-23,2017-04-13,United Artists,Fresh,78.0,9.0,Upright,90.0,68249.0,1.0,7.0,2.0,ba1a50b8-ecb8-4626-b122-a29205c20a4f
184,The Quiet Man,1952,John Ford and Merian C. Cooper,Nominee,1952,129,"Comedy,Drama,Romance",7.8,"36,499","After accidentally killing an opponent in the ring, boxer Sean Thornton (John Wayne) leaves America and returns to his native Ireland, hoping buy his family's homestead and live in peace. In doing so, he runs afoul of Will Danaher (Victor McLaglen), who long coveted the property. Spitefully, Will objects when his fiery sister, Mary Kate (Maureen O'Hara), begins a romance with Sean, and refuses to hand over her dowry. Mary Kate refuses to consummate the marriage until Sean retrieves the money.","Classics, Comedy, Drama, Romance","Director John Ford and star John Wayne depart the Western for the Irish countryside, and the result is a beautifully photographed, often comedic romance.",G,John Ford,"Frank S. Nugent, Richard Llewellyn","John Wayne, Maureen O'Hara, Barry Fitzgerald, Ward Bond, Victor McLaglen, Arthur Shields, Eileen Crowe, Mildred Natwick, Francis Ford, Jack MacGowran, May Craig, Charles Fitzsimmons, James Lilburn, Sean McClory, Ken Curtis, Mae Marsh, Joseph O'Dea, Eric Gorman, Kevin Lawless, Paddy O'Donnell, Webb Overlander, Harry Tenbrook, David Hilary Hughes, Sam Harris, Harry Tyler, Patrick Wayne, Michael Wayne, Melinda Wayne, Antonia Wayne, David Hughes, Jack Roper, Douglas Evans, Al Murphy, Don Hatswell, Tiny Jones, Hank Worden, Pat O'Malley, Bob Perry, Frank Baker",1952-08-14,2016-07-13,Republic Pictures,Certified-Fresh,91.0,45.0,Upright,91.0,30417.0,8.0,41.0,4.0,6e88383e-fac9-4946-a4fc-f4d0a9647c07
185,From Here to Eternity,1953,Buddy Adler,Winner,1953,118,"Drama,Romance,War",7.6,"45,045","At an Army barracks in Hawaii in the days preceding the attack on Pearl Harbor, lone-wolf soldier and boxing champion ""Prew"" Prewitt (Montgomery Clift) refuses to box, preferring to play the bugle instead. Hard-hearted Capt. Holmes (Philip Ober) subjects Prew to a grueling series of punishments while, unknown to Holmes, the gruff but fair Sgt. Warden (Burt Lancaster) engages in a clandestine affair with the captain's mistreated wife (Deborah Kerr).","Classics, Drama, Romance","It has perhaps aged poorly, but this languidly paced WWII romance remains an iconic, well-acted film, featuring particularly strong performances from Burt Lancaster and Montgomery Clift.",G,Fred Zinnemann,Daniel Taradash,"Burt Lancaster, Montgomery Clift, Deborah Kerr, Frank Sinatra, Donna Reed, Ernest Borgnine, Philip Ober, Mickey Shaughnessy, Jack Warden, George Reeves, Harry Bellaver, John Dennis, Tim Ryan, Barbara Morrison, Kristine Miller, Jean Willes, Merle Travis, Arthur Keegan, Claude Akins, Robert Karnes, Robert J. Wilke, Bob Wilke, Douglas Henderson, Don Dubbins, John L. Cason, John Bryant, Joan Shawlee, Angela Stevens, Mary Carver, Vicki Bakken, James Jones, Margaret Barstow, Delia Salvi, Al Sargent, Weaver Levy, Tyler McVey, John Patrick Veitch, William Lundmark, Robert Healy, James Brick Sullivan, Moana Gleason, Freeman Lusk, Robert Pike, Carleton Young, Fay Roope, Louise Saraydar, Alvin Sargent, Joe Roach, Patrick Miller, Wayne Norman, Joseph Sargent, Mack Chandler, Edward Laguna, Willis Bouchey, John Patrick Veitch, John Davis, Carey Leverette, Allen Pinson, Guy Way, Manny Klein",1953-08-05,2012-04-16,NCM Fathom,Certified-Fresh,92.0,61.0,Upright,84.0,14883.0,16.0,56.0,5.0,4053e1d8-c821-4247-a020-baca7eaef18d
186,Julius Caesar,1953,John Houseman,Nominee,1953,120,"Biography,Drama,History",7.3,"11,012","Brutus (James Mason) is convinced by a scheming band of Roman senators, led by Caius Cassius (John Gielgud), that his dear friend Julius Caesar (Louis Calhern) intends to dissolve the republic and install himself as monarch, and he joins a conspiracy to assassinate him. Brutus stirringly defends his actions, but when Mark Antony (Marlon Brando) responds with a speech that plays upon the crowd's love for their fallen leader, a battle between the two factions is assured.","Classics, Drama, Mystery & Suspense","A sterling cast gives Shakespeare's tale of betrayal and reprisals body and fine form, with Marlon Brando displaying a galvanizing command over the Bard's language.",NR,Joseph L. Mankiewicz,Joseph L. Mankiewicz,"Marlon Brando, James Mason, John Gielgud, Louis Calhern, Edmond O'Brien, Greer Garson, Deborah Kerr, George Macready, Michael Pate, Richard Hale, Alan Napier, John Parrish, William Cottrell, John Hardy, John Hoyt, Tom Powers, Jack Raine, Ian Wolfe, Lumsden Hare, Morgan Farley, Victor Perry, Douglass Watson, Douglass Dumbrille, Rhys Williams, Michael Ansara, Dayton Lummis, John Lupton, Preston Hanson, Joseph Waring, Steve Roberts, O.Z. Whitehead, Thomas Browne Henry, Edmund Purdom, John Doucette, Chet Stratton, Michael Tolan, William Phipps, Paul Guilfoyle, Lawrence Dobkin, David Bond, Jo Gilbert, Ann Tyrrell, John O'Malley, Oliver Blake, Alvin Hurwitz, Donald Elson, Ned Glass, Stephen Roberts",1953-06-03,2008-01-01,MGM Home Entertainment,Fresh,95.0,22.0,Upright,81.0,5248.0,6.0,21.0,1.0,c809744c-13bb-4ded-b500-91b644ee825f
187,The Robe,1953,Frank Ross,Nominee,1953,135,"Drama,History",6.8,"9,876","In this biblical epic, a drunk and disillusioned Roman, Marcellus Gallio (Richard Burton), wins Jesus' robe in a dice game after the crucifixion. Marcellus has never been a man of faith like his slave, Demetrius (Victor Mature), but when Demetrius escapes with the robe, Marcellus experiences disturbing visions and feels guilty for his actions. Convinced that destroying the robe will cure him, Marcellus sets out to find Demetrius -- and discovers his Christian faith along the way.","Classics, Drama, Faith & Spirituality",,G,Henry Koster,"Philip Dunne, Albert Maltz, Gina Kaus","Richard Burton, Jean Simmons, Victor Mature, Michael Rennie, Jay Robinson, Dean Jagger, Torin Thatcher, Richard Boone, Betta St John, Jeff Morrow, Ernest Thesiger, Dawn Addams, Leon Askin, Frank Pulaski, David Leonard, Michael Ansara, Helen Beverly, Nicholas Koster, Francis Pierlot, Frank de Kova, Thomas Browne Henry, Anthony Eustrel, Pamela Robinson, Jay Novello, Tom Browne Henry, Emmett Lynn, Sally Corner, Rosalind Ivan, George E. Stone, Marc Snow, Anne Bancroft, Mae Marsh, George Keymas, John Doucette, Ford Rainey, Sam Gilman, Harry Shearer, Virginia Lee, Anthony Jochim, Leo Curley, Jean Corbett, Joan Corbett, Gloria Saunders, Percy Helton, George H. Melford, Ed Mundy, Roy Gordon, A. Ben Astar, Alex Pope, George Robotham, Hayden Rorke, Dan Ferniel, Van Des Autels, Cameron Mitchell, Bella St. John",1953-09-16,2015-11-25,20th Century Fox,Rotten,33.0,18.0,Upright,69.0,6018.0,4.0,6.0,12.0,2ee37736-fd84-4b57-a9c9-df11a9e70329
188,Roman Holiday,1953,William Wyler,Nominee,1953,118,"Comedy,Romance",8.0,"132,970","Overwhelmed by her suffocating schedule, touring European princess Ann (Audrey Hepburn) takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley (Gregory Peck),who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.","Classics, Comedy, Drama, Romance","With Audrey Hepburn luminous in her American debut, Roman Holiday is as funny as it is beautiful, and sets the standard for the modern romantic comedy.",NR,William Wyler,"John Dighton, Ian McLellan Hunter, Dalton Trumbo, William Wyler","Audrey Hepburn, Gregory Peck, Eddie Albert, Tullio Carminati, Hartley Power, Laura Solari, Harcourt Williams, Tullio Carminatti, Margaret Rawlings, Paolo Carlini, Claudio Ermelli, Paola Borboni, Heinz Hindrich, Gorella Gori, Alfredo Rizzo, Princess Alma Cattaneo, John Horne, Maurizio Arena, Andre Esterhazy, Ugo Ballerini, John Cortay, Ugo De Pascale, George Higgins, Bruno Baschiera, Giacomo Penza, Edward Hitchcock, Eric Oulton, Rapindranath Mitter, Richard McNamara, Princess Lilamani, Cesare Viori, Mimmo Poli, Giuliano Raffaelli, Carlo Rizzo, Gianna Segale, Marco Tulli, Tania Weber, Andre Eszterhazy",1953-09-02,2014-06-06,Paramount Pictures,Certified-Fresh,97.0,59.0,Upright,93.0,63470.0,11.0,57.0,2.0,b732f88f-79d4-43c3-b355-02f7898d908f
189,Shane,1953,George Stevens,Nominee,1953,118,"Drama,Western",7.6,"38,752","Enigmatic gunslinger Shane (Alan Ladd) rides into a small Wyoming town with hopes of quietly settling down as a farmhand. Taking a job on homesteader Joe Starrett's (Van Heflin) farm, Shane is drawn into a battle between the townsfolk and ruthless cattle baron Rufus Ryker (Emile Meyer). Shane's growing attraction to Starrett's wife, Marian (Jean Arthur), and his fondness for their son Joey (Brandon de Wilde), who idolizes Shane, force Shane to realize that he must thwart Ryker's plan.","Classics, Western",,G,George Stevens,"A.B. Guthrie Jr., Jack Sher","Alan Ladd, Jean Arthur, Van Heflin, Brandon De Wilde, Jack Palance, Ben Johnson, Edgar Buchanan, Emile G. Meyer, Elisha Cook Jr., Douglas Spencer, John Dierkes, Ellen Corby, Paul McVey, John Miller, Edith Evanson, Leonard Strong, Ray Spiker, Janice Carroll, Martin Mason, Helen Brown, Nancy Kulp, Howard Negley, Beverly Washburn, Charles Quirk, George J. Lewis, Jack Sterling, Henry Wills, Rex Moore, Ewing Miles Brown, Chester W. Hannan, Bill Cartledge, Steve Raines",1953-04-24,2016-08-10,Paramount Home Video,Fresh,97.0,36.0,Upright,81.0,15548.0,5.0,35.0,1.0,32b9e439-a62e-4fbc-b103-dd8cbbd34f5e
190,On the Waterfront,1954,Sam Spiegel,Winner,1954,108,"Crime,Drama,Thriller",8.1,"147,893","Dockworker Terry Malloy (Marlon Brando) had been an up-and-coming boxer until powerful local mob boss Johnny Friendly (Lee J. Cobb) persuaded him to throw a fight. When a longshoreman is murdered before he can testify about Friendly's control of the Hoboken waterfront, Terry teams up with the dead man's sister Edie (Eva Marie Saint) and the streetwise priest Father Barry (Karl Malden) to testify himself, against the advice of Friendly's lawyer, Terry's older brother Charley (Rod Steiger).","Classics, Drama, Romance","With his electrifying performance in Elia Kazan's thought-provoking, expertly constructed melodrama, Marlon Brando redefined the possibilities of acting for film and helped permanently alter the cinematic landscape.",NR,Elia Kazan,Budd Schulberg,"Marlon Brando, Eva Marie Saint, Karl Malden, Lee J. Cobb, Rod Steiger, Pat Henning, Leif Erickson, James Westerfield, Tony Galento, Tami Mauriello, John F. Hamilton, John Heldabrand, Rudy Bond, Don Blackman, Arthur Keegan, Abe Simon, Barry Macollum, Mike O'Dowd, Martin Balsam, Fred Gwynne, Anne Hegira, Thomas Handley, Rebecca Sands, Jere Delaney, Ann Hegira, Pat Hingle, Nehemiah Persoff, Tiger Joe Marsh",1954-07-28,2014-01-14,Sony Pictures,Certified-Fresh,99.0,72.0,Upright,95.0,52205.0,14.0,71.0,1.0,6e80353a-6ace-497d-9c6c-1756457a6dc8
191,The Caine Mutiny,1954,Stanley Kramer,Nominee,1954,124,"Drama,War",7.7,"26,649","During World War II, a dilapidated vessel, the Caine, gets a new ensign, Willis Keith (Robert Francis), and a new captain, Commander Queeg (Humphrey Bogart). The crew sees Queeg's unconventional behavior as irrational, and communications officer Thomas Keefer (Fred MacMurray) spreads suspicion about his suitability as captain. When a dire situation during a storm forces the executive officer (Van Johnson) to relieve Queeg of his duties, he and Ensign Keith are tried for mutiny.","Action & Adventure, Classics, Drama, Mystery & Suspense, Romance","Humphrey Bogart is superb as a domineering captain with brittle composure in The Caine Mutiny, an inquisitive courtroom drama teeming with memorable performances.",PG,Edward Dmytryk,"Stanley Roberts, Michael Blankfort","Humphrey Bogart, Fred MacMurray, Van Johnson, José Ferrer, Robert Francis, May Wynn, Tom Tully, E.G. Marshall, Arthur Franz, Lee Marvin, Warner Anderson, Claude Akins, Katherine Warren, Jerry Paris, Steve Brodie, Todd Karns, Whit Bissell, James Best, Joe Haworth, Herbert Anderson, James Edwards, Don Dubbins, David Alpert, Don Anderson, Robert Bray, Ted Cooper, Don Keefer, Eddie Laguna, Dayton Lummis, Kenneth MacDonald, Paul McGuire, Tyler McVey, Patrick Miller, Richard Norris, Gaylord ""Steve"" Pendleton, Jay Richards, James Todd, Donald Dillaway",1954-06-24,2012-04-16,Sony Pictures Home Entertainment,Fresh,92.0,25.0,Upright,87.0,7557.0,4.0,23.0,2.0,6eae2bc6-40f4-44f8-85c6-a11f363726cf
192,The Country Girl,1954,William Perlberg,Nominee,1954,104,"Drama,Music",7.3,"5,766","This adaptation of Clifford Odets' stage drama features Bing Crosby as the hard-drinking Frank Elgin, a once-popular Broadway star whose glory days have passed. When director Bernie Dodd (William Holden) gives Elgin a role in his new musical, he must also deal with the actor's sour and ever-present wife, Georgie (Grace Kelly), who Dodd believes is the cause of her husband's failure. However, as Dodd spends more time around Georgie, the truth about her husband becomes clear.","Classics, Drama",,NR,George Seaton,George Seaton,"Grace Kelly, Bing Crosby, William Holden, Anthony Ross, Gene Reynolds, Jacqueline Fontaine, Eddie Ryder, Robert Kent, John W. Reynolds, Frank J. Scannell, Ida Moore, Ruth Rickaby, Ruth Ricksby, Hal K. Dawson, Howard Joslin, Richard Keene, Jack Kenney, Les Clark, Charles Tannen, John Florio, Jon Provost, Don Dunning, Max Wagner, Bob Alden, Chester Jones, Allan Douglas, Jack Roberts",1954-12-15,2016-08-03,Paramount Pictures,Fresh,86.0,7.0,Upright,77.0,3106.0,0.0,6.0,1.0,27b1c21b-9ec8-4270-84a1-ff91400e2b2e
